1	0.0001
2	0.0002
3	0.534
4	1.848
5	2.35
6	2.266
7	0.0012
8	0.0014
9	0.0017
10	0.0009
11	0.968
12	1.738
13	2.699
14	2.336
15	1.823
16	2.069
17	0.0032
18	0.0018
19	0.856
20	1.55
21	3
22	4.5
23	6.11
24	7.14
25	7.43
26	7.874
27	8.9
28	8.908
29	8.95
30	7.14
31	5.904
32	5.323
33	5.778
34	4.285
35	3.1
36	0.0037
37	1.532
38	2.63
39	4.5
40	6.51
41	8.57
42	10.28
43	11.5
44	12.41
45	12.39
46	11.99
47	10.49
48	8.65
49	7.31
50	2.894
51	6.697
52	6.25
53	4.94
54	0.0059
55	1.90
56	3.62
57	6.17
58	6.773
59	6.475
60	7.003
61	7.2
62	7.536
63	5.245
64	7.886
65	8.253
66	8.559
67	8.78
68	9.045
69	9.318
70	6.973
71	9.84
72	13.28
73	16.65
74	4.34
75	21
76	22.57
77	22.61
78	21.41
79	19.32
80	13.534
81	11.85
82	1.678
83	9.808
84	9.142
85	0.0
86	0.0097
87	0.0
88	5.5
89	0.0
90	11.78
91	15.37
92	19.05
93	20.45
94	19.86
95	13.67
96	13.51
97	14.78
98	0.0
99	0.0
100	0.0
